City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
272,Bagotville,AU,73.63,broken clouds,-28.9833,153.4167,
273,Sungai Besar,MY,77.81,broken clouds,3.6746,100.9867,
275,Huarmey,PE,68.43,overcast clouds,-10.0681,-78.1522,
276,Seoul,KR,27.79,clear sky,37.5683,126.9778,
277,Olga,RU,16.43,clear sky,43.7444,135.2892,
278,Carahue,CL,46.54,few clouds,-38.7,-73.1667,
279,Toamasina,MG,73.87,scattered clouds,-18.1667,49.3833,
280,Petropavlovsk-Kamchatskiy,RU,27.19,clear sky,53.0452,158.6483,
281,La Maddalena,IT,42.85,clear sky,41.2142,9.4083,
282,Ribeira Grande,PT,58.24,overcast clouds,38.5167,-28.7,
283,Flin Flon,CA,10.29,overcast clouds,54.7682,-101.865,
284,Mandera,KE,80.28,overcast clouds,3.9366,41.867,
285,Eyl,SO,74.43,clear sky,7.9803,49.8164,
286,Emporia,US,44.8,clear sky,38.4039,-96.1817,
287,Guerrero Negro,MX,62.56,overcast clouds,27.9769,-114.0611,
288,Port Elizabeth,ZA,70.11,light rain,-33.918,25.5701,
289,Coihaique,CL,50.61,overcast clouds,-45.5752,-72.0662,
290,Gat,IL,70.92,overcast clouds,31.61,34.7642,
291,Pisco,PE,64.02,few clouds,-13.7,-76.2167,
292,Sint-Gillis-Waas,BE,51.06,overcast clouds,51.228,4.1206,
293,Byron Bay,AU,77.88,broken clouds,-28.65,153.6167,
294,Chifeng,CN,19.89,clear sky,42.2683,118.9636,
295,Kem,RU,23.47,overcast clouds,64.9555,34.5793,
298,Faya,SA,41.52,clear sky,18.3851,42.4509,
299,Ukiah,US,53.44,overcast clouds,39.1502,-123.2078,
300,Oberkirch,DE,43.41,overcast clouds,48.5324,8.0786,
301,Gizo,SB,85.69,scattered clouds,-8.103,156.8419,
302,Ambilobe,MG,72.25,clear sky,-13.2,49.05,
303,Morondava,MG,78.21,clear sky,-20.2833,44.2833,
304,Lima,PE,65.14,scattered clouds,-12.0432,-77.0282,
305,Sarankhola,BD,56.95,clear sky,22.3082,89.7897,
306,Bazarnyye Mataki,RU,13.14,few clouds,54.8833,49.9333,
307,Palmer,US,39.13,clear sky,42.1584,-72.3287,
308,Trincomalee,LK,80.31,overcast clouds,8.5711,81.2335,
309,Kang,BW,70.83,overcast clouds,-23.6752,22.7876,
