City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
133,Ulladulla,-35.35,150.4667,73.87,64,10,7.45,AU,clear sky
134,Youkounkoun,12.5333,-13.1333,76.08,29,28,0.81,GN,scattered clouds
135,Alofi,-19.0595,-169.9187,80.49,74,5,2.3,NU,clear sky
136,Nyanguge,-2.55,33.2,70.27,77,100,7.23,TZ,light rain
137,Mossendjo,-2.9506,12.7261,69.91,100,100,1.88,CG,overcast clouds
138,Nalut,30.3333,10.85,43.5,62,6,7.96,LY,clear sky
139,Waingapu,-9.6567,120.2641,84.67,71,71,2.48,ID,broken clouds
140,Yar-Sale,66.8333,70.8333,-17.79,100,73,3.42,RU,broken clouds
141,Zhanaozen,43.3,52.8,22.26,73,0,10.98,KZ,clear sky
142,Norman Wells,65.282,-126.8329,-2.16,71,75,13.8,CA,light snow
143,Cherskiy,68.75,161.3,-41.91,100,91,0.29,RU,overcast clouds
144,Leningradskiy,69.3833,178.4167,-30.96,90,3,4.34,RU,clear sky
145,Tura,25.5198,90.2201,55.94,79,0,3.51,IN,clear sky
146,Ponta Do Sol,32.6667,-17.1,63.72,78,26,1.05,PT,scattered clouds
147,Arraial Do Cabo,-22.9661,-42.0278,74.98,97,100,10.94,BR,overcast clouds
148,Portland,45.5234,-122.6762,43.99,92,75,1.01,US,broken clouds
149,Palauig,15.435,119.9045,82.31,62,99,3.22,PH,overcast clouds
150,Mabopane,-25.4977,28.1007,69.66,78,100,2.21,ZA,light rain
151,Talcahuano,-36.7167,-73.1167,56.88,72,0,17.27,CL,clear sky
152,Payo,-3.7508,103.6372,76.89,92,61,2.68,ID,broken clouds
153,Avera,33.194,-82.5271,49.51,42,0,6.87,US,clear sky
154,Fortuna,40.5982,-124.1573,50.67,87,40,5.01,US,scattered clouds
155,Santa Marta,11.2408,-74.199,82.45,69,40,10.36,CO,scattered clouds
156,Chudovo,59.1167,31.6833,29.84,99,100,2.89,RU,snow
157,Vardo,70.3705,31.1107,29.46,82,56,26.24,NO,broken clouds
158,Terra Santa,-2.1042,-56.4869,76.24,96,100,2.93,BR,overcast clouds
159,Alice Springs,-23.7,133.8833,85.55,26,0,5.75,AU,clear sky
160,Russell,32.3502,-85.1999,46.38,59,0,3.74,US,clear sky
161,Hai Duong,20.9333,106.3167,62.71,54,30,8.48,VN,scattered clouds
162,Carnarvon,-24.8667,113.6333,73.47,64,0,19.57,AU,clear sky
163,Vao,-22.6667,167.4833,77.02,90,100,13.89,NC,light rain
164,Mayumba,-3.432,10.6554,76.44,90,100,2.39,GA,light rain
165,Lagos,6.5833,3.75,78.03,88,91,2.42,NG,overcast clouds
166,Cabedelo,-6.9811,-34.8339,79.47,79,57,11.1,BR,broken clouds
167,Sibolga,1.7427,98.7792,77.77,88,92,1.39,ID,overcast clouds
168,Faanui,-16.4833,-151.75,81.36,73,100,11.99,PF,light rain
169,Sonepur,20.8333,83.9167,61.47,86,51,0.51,IN,broken clouds
170,Lewistown,40.5992,-77.5714,40.51,81,1,0.0,US,light intensity drizzle
171,Ternate,0.8,127.4,83.61,76,100,9.24,ID,overcast clouds
172,Colombia,20.9881,-77.4297,72.63,80,0,9.13,CU,clear sky
173,Miranda,3.2499,-76.2281,64.53,95,100,0.85,CO,overcast clouds
174,Goderich,43.7501,-81.7165,43.12,65,3,20.71,CA,clear sky
175,Georgetown,5.4112,100.3354,81.9,80,20,1.99,MY,few clouds
176,Urengoy,65.9667,78.3667,-27.17,91,17,7.56,RU,few clouds
177,Hualmay,-11.0964,-77.6139,68.0,85,74,8.23,PE,broken clouds
178,Bambous Virieux,-20.3428,57.7575,73.65,88,75,4.61,MU,light rain
179,Hovd,48.0056,91.6419,6.98,60,48,4.61,MN,scattered clouds
180,Inirida,3.8653,-67.9239,77.45,85,78,3.04,CO,broken clouds
181,Nisia Floresta,-6.0911,-35.2086,82.78,79,54,10.11,BR,broken clouds
182,Halifax,44.6453,-63.5724,37.45,65,0,7.0,CA,clear sky
183,Awbari,26.5921,12.7805,50.14,63,0,5.61,LY,clear sky
184,General Roca,-39.0333,-67.5833,66.61,30,9,22.35,AR,clear sky
185,Evensk,61.95,159.2333,10.49,59,100,17.56,RU,overcast clouds
186,Cap Malheureux,-19.9842,57.6142,73.47,76,8,3.0,MU,clear sky
187,Qianan,44.9932,124.0581,9.59,78,6,13.06,CN,clear sky
188,Port Blair,11.6667,92.75,80.31,69,21,14.09,IN,few clouds
189,Bahia Blanca,-38.7196,-62.2724,69.53,35,86,12.75,AR,overcast clouds
190,Ostrovnoy,68.0531,39.5131,29.59,93,100,14.54,RU,light snow
191,Bethanien,-26.502,17.1583,68.04,28,39,4.63,NA,scattered clouds
192,Chuy,-33.6971,-53.4616,67.68,77,6,11.59,UY,clear sky
193,Abidjan,5.3094,-4.0197,82.36,89,20,5.75,CI,few clouds
194,Lompoc,34.6391,-120.4579,57.34,78,10,1.99,US,clear sky
195,Zambezi,-13.5432,23.1047,66.74,83,64,3.13,ZM,light rain
196,Port Alfred,-33.5906,26.891,71.69,95,100,12.35,ZA,overcast clouds
197,Dikson,73.5069,80.5464,-17.01,96,85,16.58,RU,overcast clouds
198,Nome,64.5011,-165.4064,-17.9,78,2,4.85,US,clear sky
199,Bambanglipuro,-7.95,110.2833,71.6,74,99,5.23,ID,overcast clouds
200,Nikolskoye,59.7035,30.7861,24.69,99,100,1.99,RU,snow
201,Longyearbyen,78.2186,15.6401,26.89,91,100,9.69,SJ,overcast clouds
202,Kilemary,56.7783,46.8659,13.39,88,79,5.86,RU,broken clouds
203,Redmond,47.674,-122.1215,41.49,89,100,1.01,US,overcast clouds
204,Nemuro,43.3236,145.575,31.57,60,30,31.41,JP,scattered clouds
205,Namtsy,62.7161,129.6658,-34.49,99,100,1.59,RU,overcast clouds
206,Zavetnoye,47.1194,43.8903,27.18,62,100,17.65,RU,overcast clouds
